 Mile  Pace(min)  Pace(sec) 
    1         7         57
    2         7         59
    3         8          7
    4         8          0
    5         7         45
    6         7         52
    7         7         51
    8         7         54
    9         8          5
   10         7         55
   11         8          9
   12         7         53
   13         7         55
   14         8          0
   15         7         45
   16         7         55
   17         8         16
   18         8         20
   19         8          9
   20         8         13
   21         8         30
   22         8          6
   23         8         37
   24         8          2
   25         7         47
   26         7          0
